Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Packaging Box,Epoxidized Soybean Oil (ESBO),8.18,8, Bio-based Epoxidized Soybean Oil,8.23,3
Adhesive,Chromic Acid,9.28,9,Citric Acid,9.43,2
Sofa Cushion,Polyurethane,0.23,8,Biodegradable Polyurethane,0.23,3
Sofa Cushion,Polyurethane (PU),2.65,8, Biodegradable PU,2.63,3
Packaging Box,Creosote,9.63,9,Natural Wood Preservatives,9.69,3
Packaging Box,Synthetic Adhesive,8.81,9,Starch-based or Resin Glue,8.94,3
General Appliance Part,Vinyl,0.36,8,Recycled Wood or Bamboo,0.36,3
Tote Bag,Recycled Cotton,4.24,7,Biodegradable Cotton,4.18,2
Pen,Recycled Plastic,4.36,9,Plant-based Plastic,4.36,3
Electronic Housing,Synthetic Adhesive,5.0,9,Starch-based or Resin Glue,4.97,3
Disposable Cup,Recycled Polystyrene,3.75,8,Recycled Polystyrene or Bio-based Styrofoam,3.73,3
Automotive Component,Recycled Wool,5.67,8, Recycled Wool Insulation,5.77,3
General Appliance Part,Mahogany,0.9,9,Fast-growing Hardwood,0.9,3
General Appliance Part,Algae Oil,3.79,8, Plant-based Oil,3.69,3
Electronic Housing,Bamboo Pulp,9.87,8,Recycled Pulp,10.12,3
General Appliance Part,Recycled Textiles,2.2,8,Organic Textiles,2.19,3
Automotive Component,Cadmium Pigments,1.11,10,Natural Earth Pigments,1.12,2
Automotive Component,Recycled Glass Bottles,0.66,8,Glass or Biodegradable Bottles,0.65,3
Rubber Band,Conventional Rubber,0.97,8,Recycled Rubber or Natural Latex,0.99,3
Water Bottle,Corn Plastic,9.39,7,Compostable Corn Plastic,9.16,2
Automotive Component,Conventional Soil Pots,6.09,7,Biodegradable Peat Pots,6.25,2
Automotive Component,Carbon Tetrachloride,0.27,10,Water-based Cleaning,0.26,2
Clothing Apparel,Natural Fiberboard,9.9,8, Recycled Wood Fiberboard,9.67,3
Squeeze Bottle,Chlorinated Polyethylene,5.91,9,Natural Elastomers,5.92,3
Water Bottle,PET Film,0.26,7,Cellulose-based Film,0.26,3
Electronic Housing,Methyl Methacrylate,1.82,8,Natural Acrylates,1.85,3
Automotive Component,Recycled Glass Bottles,4.53,8,Glass or Biodegradable Bottles,4.4,3
Electronic Housing,Acrylonitrile Butadiene Styrene,8.68,8,Natural Fiber Composites,8.44,3
General Appliance Part,Lindane,1.93,10,Natural Insecticides,1.98,2
General Appliance Part,Disposable Plates,8.57,9,Palm Leaf or Areca Leaf Plates,8.62,2
Electronic Housing,Mica,6.05,8,Recycled Glass,5.94,3
Packaging Box,Synthetic Insulation,6.2,8,Recycled Cotton Insulation,6.07,2
Packaging Box,Graphene,0.09,8,Recycled Graphene,0.09,3
Sportswear,Polyester Bags,0.2,8,Cotton or Canvas Bags,0.21,2
Lip Balm,Synthetic Wax,0.92,8,Beeswax or Soy Wax,0.91,3
Clothing Apparel,Hemp Fiber,2.46,8, Jute Fiber,2.49,3
Jacket,Recycled Polyester,3.88,8,Recycled Polyester or Organic Cotton,3.95,3
Tire,Recycled Tyre Rubber,1.95,9,Recycled Rubber,1.95,3
Shampoo Bottle,Bio-polyethylene,7.31,8,Biodegradable Polyethylene,7.37,3
Electronic Housing,Silicone,5.71,9,Plant-based Silicone,5.75,4
General Appliance Part,Chlordane,1.74,10,Biological Controls,1.74,2
Pen,Thermoplastic Polyolefin (TPO),3.88,8, Biodegradable TPO,3.98,3
Eyeglass Frame,Cellulose Acetate Butyrate,9.09,7,Modified Natural Cellulose,9.09,2
Upholstery,Lotus Fiber,1.25,6,Aquatic Plant Fiber,1.25,2
Packaging Box,Recycled Cardboard,8.15,7, Recycled Paperboard,8.35,3
Packaging Box,Mica,4.85,8,Recycled Glass,4.92,3
General Appliance Part,Rice Husk,4.16,8,Compostable Rice Husk,4.04,3
Packaging Box,Recycled Paper Straws,5.68,8,Compostable Paper Straws,5.56,3
Packaging Box,Mica,1.7,8,Recycled Glass,1.75,3
Candle,Traditional Candle Wax,5.54,8,Soy Wax or Beeswax,5.4,2
Electronic Housing,Recycled PLA,6.87,8,Recycled PLA or Bamboo Fiber,6.98,3
Packaging Box,Recycled Paper Bags,8.95,7, Compostable Paper Bags,8.99,3
Electronic Housing,Lead Solder,4.06,9,Lead-free Solder,3.94,3
General Appliance Part,Styrene Acrylonitrile,1.04,8,Natural Copolymers,1.05,3
Packaging Box,Hydrochlorofluorocarbons,8.22,9,CO2 Refrigeration,8.14,3
Automotive Component,Polymethyl Methacrylate (PMMA),9.58,9, Recycled PMMA,9.39,3
Packaging Box,Glass Containers,8.2,8, Recycled Glass,8.19,3
General Appliance Part,Rosewood,8.0,9,Sustainable Plantation Wood,8.18,3
Electronic Housing,Mercury Switches,6.95,10,Electronic Switches,7.08,3
Packaging Box,Neoprene,8.57,8,Natural Rubber,8.69,3
Handbag,Cactus Leather,2.06,7,Desert Plant Leather,2.03,2
Toy,Corn Plastic,8.89,7,Compostable Corn Plastic,8.8,2
Packaging Box,Acrylonitrile Butadiene Styrene,4.21,8,Natural Fiber Composites,4.14,3
Molded Part,Plant-based Resin,9.4,8, Bio-based Resin,9.23,3
Automotive Component,Lead Paint,7.6,10,Natural Mineral Paint,7.37,2
Toy,Casein Plastics,1.52,7,Plant Protein Plastics,1.56,2
Toy,Thermoplastic Polyolefin (TPO),7.01,8, Biodegradable TPO,7.02,3
General Appliance Part,Polytetrafluoroethylene,2.35,10,Ceramic Coating,2.42,4
Packaging Film,Polyethylene Glycol,0.12,8,Bio-based PEG,0.12,3
Automotive Component,Halon Fire Suppressants,4.02,9,Water Mist Systems,3.99,3
Toy,Soy Protein Plastics,4.57,8,Plant-based Plastics,4.49,3
Electronic Housing,Polyvinyl Alcohol (PVA),4.41,8, Biodegradable PVA,4.3,3
Water Bottle,Thermoplastic Vulcanizates,7.57,8,Biodegradable Thermoplastic,7.43,3
Packaging Box,Methyl Methacrylate,3.13,8,Natural Acrylates,3.13,3
Bag,Flax Fiber,8.37,7,Bamboo Fiber,8.24,2
Raincoat,Polyvinyl Chloride (PVC),5.64,8, Recycled PVC,5.55,3
General Appliance Part,Recycled Paper Bags,1.41,7, Compostable Paper Bags,1.37,3
General Appliance Part,Butadiene,10.0,8,Bio-based Dienes,10.24,3
Packaging Box,Polybutylene,5.96,8,Bio-based Polyolefins,5.96,3
General Appliance Part,Creosote,6.38,9,Natural Wood Preservatives,6.56,3
General Appliance Part,Recycled Granite,7.81,8,Recycled Granite or Recycled Glass,7.82,3
Molded Part,Polylactic Acid (PLA),3.45,6,Compostable PLA,3.38,2
General Appliance Part,Recycled Wool,6.13,8, Recycled Wool Insulation,6.0,3
Packaging Box,Asphalt Shingles,3.54,8,Recycled Metal Shingles,3.55,3
Disposable Cutlery,Polyethylene (Plastic),3.21,9,Jute or Cotton,3.26,2
General Appliance Part,Biodegradable Paint,9.62,7, Natural Paints,9.77,2
Electronic Housing,Synthetic Adhesive,7.37,9,Starch-based or Resin Glue,7.5,3
Soda Bottle,Recycled Polyethylene Terephthalate (rPET),0.72,8, Bio-based PET,0.72,3
Electronic Housing,Biodegradable Paint,0.26,7,Natural Paints,0.26,2
Pen,Casein Plastics,2.45,7,Plant Protein Plastics,2.41,2
Sportswear,Polyester Film,4.28,7,Cornstarch-based Film,4.37,2
Sponge,Ethyl Cellulose,0.46,7,Plant-based Cellulose,0.46,2
Electronic Housing,Recycled Paper Straws,0.75,8,Compostable Paper Straws,0.77,3
Packaging Box,Coal Tar,9.1,9,Bio-based Tar,9.26,3
Electronic Housing,Chlordane,7.21,10,Biological Controls,7.2,2
Pen,Plastic Bags,4.75,9,Reusable Cloth Bags,4.76,2
Packaging Box,Acrylonitrile Butadiene Styrene,8.08,8,Natural Fiber Composites,8.32,3
General Appliance Part,Butylated Hydroxyanisole,7.46,8,Vitamin E (Tocopherol),7.45,2
Industrial Coating,Sulfuric Acid,8.49,9,Citric Acid for Light Cleaning,8.65,2
Packaging Box,Compostable Utensils,1.2,8, Bamboo or Palm Leaf Utensils,1.19,3
Lip Balm,Traditional Candle Wax,5.4,8,Soy Wax or Beeswax,5.47,2
Water Pipe,PVC Pipes,3.71,9,HDPE or PEX Pipes,3.66,3
Upholstery,Pineapple Leaf Fiber,2.01,6,Piñatex,1.97,2
Rubber Band,Recycled Tyre Rubber,1.88,9,Recycled Rubber,1.83,3
Packaging Box,Formalin,5.76,10,Plant-based Preservatives,5.66,3
Electronic Housing,Synthetic Rugs,9.2,8,Jute or Wool Rugs,9.08,3
Electronic Housing,Disposable Plates,5.74,9,Bamboo or Leaf Plates,5.91,2
General Appliance Part,Vinyl Upholstery,0.4,9,Cork Leather or Fabric,0.39,3
Automotive Component,Methylene Chloride Paint Strippers,5.99,9,Soy-based Strippers,6.09,3
Packaging Box,Laminated Wood,2.14,8,Recycled Wood,2.1,3
Automotive Component,Traditional Asphalt,8.89,9,Recycled Rubber Pavement,9.0,4
General Appliance Part,Recycled Steel,7.4,8, Recycled Steel,7.44,3
Automotive Component,Bamboo Charcoal,9.51,8,Recycled Charcoal,9.28,3
Packaging Box,Wooden Furniture,1.46,8,Bamboo Furniture,1.48,3
General Appliance Part,Benzene,6.14,10,Natural Solvents,6.09,3
General Appliance Part,Polysulfone,5.3,8,Bio-based PSU or Recycled Polysulfone,5.2,3
Molded Part,Polylactic Acid Film,0.63,8,Biodegradable Film,0.65,3
Automotive Component,Toluene,4.38,9,Water-based or Low-VOC Solvents,4.28,3
Packaging Box,Recycled Copper,9.91,8,Recycled Copper or Plant-based Copper,9.91,3
Sofa Cushion,Polyurethane Coating,7.78,8,Plant-based Coating,7.57,3
Upholstery,Hemp Fiber,9.02,8, Jute Fiber,9.0,3
Automotive Component,Grape Seed Oil,6.81,8,Plant-based Oil,6.61,3
Packaging Box,Acetate,1.62,8, Bio-based Acetate,1.57,3
Electronic Housing,Cork Packaging,9.86,8,Bamboo Packaging,10.02,3
Electronic Housing,Polytetrafluoroethylene,8.61,10,Ceramic Coating,8.7,4
Electronic Housing,Toluene,3.51,9,Water-based or Low-VOC Solvents,3.45,3
Eyeglass Frame,Methyl Cellulose,7.32,7,Natural Thickeners,7.38,2
Electronic Housing,Carbon Black,0.26,8,Biochar or Vegetable-based Pigments,0.27,3
Storage Container,Plastic Beads,8.0,8,Glass or Wooden Beads,7.87,3
General Appliance Part,Mineral Wool,6.46,8,Recycled Cotton Insulation,6.47,3
General Appliance Part,Polypropylene Glycol (PPG),3.88,8, Biodegradable PPG,3.81,3
Sponge,Cellulose,5.06,8,Recycled Cellulose,4.95,3
Electronic Housing,FSC-Certified Wood,8.75,8,Sustainable Wood,8.98,3
Packaging Box,Fluoropolymers,1.88,10,Silicon-based Polymers,1.89,4
General Appliance Part,Arsenic Compounds,7.42,10,Natural Preservatives,7.39,3
Clothing Apparel,Hemp Fiber,5.13,8,Jute Fiber,5.08,3
Cable Insulation,PVC Foam,5.23,8,Recycled Plastic Foam,5.14,3
General Appliance Part,Bagasse Composites,9.59,5,Sugarcane Waste Materials,9.32,2
Phone Case,Algae-Based Bioplastic,2.94,7,Plant-based Bioplastics,2.85,2
Electronic Housing,Polyhydroxybutyrate (PHB),6.65,8, Biodegradable PHB,6.67,3
Automotive Component,Mercury Switches,4.88,10,Electronic Switches,5.02,3
Molded Part,Polylactic Acid (PLA),2.12,6,Compostable PLA,2.14,2
Electronic Housing,Algae Oil,3.52,8,Plant-based Oil,3.62,3
Pen,Plastic Bottles,5.32,9,Glass or Metal Bottles,5.41,2
Adhesive,Phenolic Resin,1.53,8, Bio-based Phenolic Resin,1.56,3
Curtains,Polyester Resin,0.81,8, Bio-based Resin,0.79,3
Backpack,Nylon,4.77,7,Organic Cotton or Recycled Nylon,4.78,3
Automotive Component,Chitosan,1.33,8,Bio-based Chitosan,1.3,3
Umbrella,Nylon Rope,8.24,7,Jute or Hemp Rope,8.03,2
Water Pipe,PVC Foam,7.37,8,Recycled Plastic Foam,7.38,3
Polishing Wax,Traditional Candle Wax,0.79,8,Soy Wax or Beeswax,0.81,2
Automotive Component,Sisal,6.78,8, Hemp or Bamboo Fiber,6.72,3
Automotive Component,Ethylene Oxide,8.34,9,Natural Sterilization,8.26,3
Pen,Soy Protein Plastics,3.32,8,Plant-based Plastics,3.25,3
General Appliance Part,Kevlar,8.44,9,High-strength Natural Fibers,8.59,4
Jacket,Bio-based Polyester,9.52,7,Recycled Polyester,9.37,2
Electronic Housing,Beryllium,4.83,10,Aluminum Alloys,4.86,4
Electronic Housing,Palm Oil,4.8,8, Certified Sustainable Palm Oil,4.73,3
Packaging Box,Recycled Steel,3.99,8,Recycled Steel or Aluminum,3.95,3
General Appliance Part,Mineral Wool,0.3,8,Recycled Cotton Insulation,0.3,3
General Appliance Part,Disposable Plates,9.7,9,Bamboo or Leaf Plates,9.91,2
Automotive Component,Banana Leaf,9.54,8,Compostable Leaf,9.51,3
Tote Bag,Cotton Waste,1.69,8,Hemp or Organic Cotton,1.67,3
Phone Case,Plastic,3.31,10,Paper or Metal,3.33,2
Water Bottle,Polyethylene (Plastic),0.32,9,Jute or Cotton,0.33,2
Electronic Housing,Compostable Utensils,3.14,8, Bamboo or Palm Leaf Utensils,3.07,3
Adhesive,Formaldehyde Resins,4.91,8,Natural Adhesives,4.84,2
Rubber Band,Natural Rubber,0.67,8,Plant-based Rubber,0.66,3
Jacket,Bio-based Polyester,6.07,7,Recycled Polyester,6.02,2
Storage Container,Soy Protein Plastics,0.55,8,Plant-based Plastics,0.56,3
Pen,Plastic Beads,1.3,8,Glass or Wooden Beads,1.3,3
Backpack,Nylon 66,8.71,8,Biodegradable Polymers,8.6,3
Jeans,Conventional Cotton,7.42,7,Organic Cotton or Hemp,7.3,3
Packaging Box,Sisal,9.82,8,Hemp or Bamboo Fiber,9.73,3
Mattress,Polyurethane Foam,9.06,8,Recycled Denim or Sheeps Wool,8.87,3
Packaging Box,Polyamide 6,0.05,7,Biodegradable Polyamide,0.05,3
Automotive Component,Butadiene,7.59,8,Bio-based Dienes,7.65,3
Disposable Cutlery,Corn Plastic,7.63,7, Compostable Corn Plastic,7.65,2
Vinyl Record,PVC Flooring,1.39,8,Cork Flooring,1.37,2
Curtains,Polyester Resin,3.96,8, Bio-based Resin,4.02,3
Electronic Housing,Mercury Thermometers,5.86,10,Digital or Gallium-based,6.0,2
Sofa Cushion,Polyurethane Foam,9.82,9,Natural Latex or Coconut Fiber,9.8,3
Reusable Plate,Melamine,5.92,8,Bamboo-based Tableware,5.96,3
General Appliance Part,Disposable Plates,9.5,9,Bamboo or Leaf Plates,9.58,2
General Appliance Part,Hexamethylenediamine,3.6,8,Bio-based Diamines,3.55,3
General Appliance Part,Compostable Utensils,4.83,8,Bamboo or Palm Leaf Utensils,4.75,3
Automotive Component,Algae Oil,6.42,8,Plant-based Oil,6.44,3
Packaging Box,Algae Oil,5.04,8,Plant-based Oil,4.99,3
General Appliance Part,Treated Wood,8.93,8, Recycled Wood,8.95,3
Electronic Housing,Phenol,7.44,9,Natural Phenolics,7.62,3
Automotive Component,Neoprene,0.87,8,Natural Rubber,0.87,3
Automotive Component,Recycled Paper Bags,1.2,7,Compostable Paper Bags,1.22,3
Disposable Cutlery,Milk Protein Plastics,8.1,8,Plant-based Plastics,7.9,3
Electronic Housing,Lindane,6.41,10,Natural Insecticides,6.48,2
Curtains,Polyester Carpet,7.87,8,Wool or Sisal Carpet,7.91,3
Packaging Box,Bamboo Charcoal,9.01,8,Recycled Charcoal,8.91,3
Tool Handle,Cellulose Acetate Butyrate,9.42,7,Modified Natural Cellulose,9.35,2
Automotive Component,Sunflower Oil,5.0,8, Plant-based Oil,5.14,3
General Appliance Part,Styrene Acrylonitrile,6.43,8,Natural Copolymers,6.32,3
Automotive Component,Compostable Utensils,5.73,8,Bamboo or Palm Leaf Utensils,5.57,3
Automotive Component,Palm Leaves,2.85,8,Bamboo Leaves,2.77,3
Automotive Component,Linseed Oil,8.86,7,Water-based Linseed Oil,8.68,3
Toy,Thermoplastic Polyolefin (TPO),3.36,8, Biodegradable TPO,3.35,3
Packaging Box,Hydrochlorofluorocarbons,9.05,9,CO2 Refrigeration,8.97,3
Automotive Component,Lead Paint,5.08,10,Natural Mineral Paint,5.15,2
Electronic Housing,Polyacrylate,7.81,8,Biodegradable Polyacrylate,7.72,3
Automotive Component,Polyvinyl Butyral,4.06,8, Biodegradable PVB,4.11,3
General Appliance Part,Tritan,1.89,9,Plant-based Tritan,1.85,3
General Appliance Part,Mirex,1.39,10,Organic Pest Control,1.4,2
Packaging Box,Recycled Steel,7.59,8, Recycled Steel,7.36,3
Packaging Box,Ethylene Vinyl Alcohol,2.32,8,Natural Barrier Materials,2.26,3
Automotive Component,Recycled Paper,7.32,7,Recycled Paper or Plant-based Paper,7.34,2
Sportswear,Bio-based Polyester,8.66,7,Recycled Polyester,8.78,2
Packaging Box,Silicone,3.77,9,Plant-based Silicone,3.76,4
General Appliance Part,Silk,1.27,8,Synthetic Silk,1.3,3
Luggage,Bio-based Polycarbonate,9.45,8,Recycled Polycarbonate,9.41,3
Pen,Milk Protein Plastics,2.09,8,Plant-based Plastics,2.14,3
Shampoo Bottle,Polyethylene Foam,5.51,8,Recycled Foam,5.39,3
General Appliance Part,Polyisoprene,2.37,8, Natural Rubber,2.41,3
Electronic Housing,Polyisobutylene,0.73,8,Natural Rubber Alternatives,0.72,3
Squeeze Bottle,Polyethylene Glycol,9.12,8,Bio-based PEG,8.87,3
Bag,Lotus Fiber,4.91,6,Aquatic Plant Fiber,4.83,2
General Appliance Part,Recycled Wool,0.25,8,Recycled Wool Insulation,0.25,3
General Appliance Part,Shellac,9.3,7,Plant-based Resin,9.21,2
Sofa Cushion,Polyurethane Coating,5.25,8, Plant-based Coating,5.27,3
General Appliance Part,Glass Containers,7.92,8,Recycled Glass,7.85,3
Handbag,Leather,3.36,9,Plant-based Leather,3.36,3
General Appliance Part,Synthetic Adhesive,0.88,9,Starch-based or Resin Glue,0.88,3
General Appliance Part,Recycled Aluminum Cans,2.9,8,Recycled Aluminum,2.97,3
Packaging Box,Hemp Paper,4.75,8, Recycled Paper,4.66,3
Sportswear,Non-Woven Polyester,3.18,8,Biodegradable Bamboo Fiber,3.11,2
Laminate Flooring,Melamine Foam,3.1,9,Recycled Melamine,3.04,3
Upholstery,Kapok Fiber,3.26,5,Tree Fiber Insulation,3.3,2
Automotive Component,Polybenzoxazine,2.94,8, Bio-based Polybenzoxazine,2.89,3
Automotive Component,Bagasse Composites,4.4,5,Sugarcane Waste Materials,4.31,2
Laminate Flooring,Melamine Foam,8.67,9,Recycled Melamine,8.63,3
Squeeze Bottle,Chlorosulfonated Polyethylene,7.31,9,Bio-based Elastomers,7.32,3
Pen,Corn Plastic,4.35,7,Compostable Corn Plastic,4.38,2
Vinyl Record,PVC,3.23,8,Recycled Wood or Bamboo,3.28,3
Towel,Cotton Waste,7.21,8,Hemp or Organic Cotton,7.05,3
Tool Handle,Ethyl Cellulose,1.03,7,Plant-based Cellulose,1.01,2
Packaging Film,Recycled Polyethylene Terephthalate (rPET),3.91,8, Bio-based PET,3.87,3
Packaging Box,Antimony Compounds,9.26,9,Natural Flame Retardants,9.0,3
Electronic Housing,Polypropylene Rope,2.87,8,Bamboo or Hemp Rope,2.91,3
Electronic Housing,HDPE,1.14,8,Plant-based Alternatives,1.12,3
Storage Container,Polyethylene (Plastic),5.81,9,Jute or Cotton,5.65,2
Clothing Apparel,Ramie Fiber,2.83,6,Nettle Plant Fiber,2.85,2
Sponge,Bacterial Cellulose,9.92,6,Microbial Cellulose Films,9.74,2
Storage Container,Milk Protein Plastics,4.99,8,Plant-based Plastics,5.04,3
Automotive Component,Tritan,8.67,9,Plant-based Tritan,8.91,3
Packaging Box,Polyvinyl Alcohol (PVA),2.8,8, Biodegradable PVA,2.72,3
General Appliance Part,Styrene Acrylonitrile,0.33,8,Natural Copolymers,0.33,3
Clothing Apparel,Pineapple Leaf Fiber,1.55,6,Piñatex,1.59,2
Automotive Component,Acetate,9.46,8, Bio-based Acetate,9.58,3
Automotive Component,Compostable Paper,6.13,7,Bamboo Paper,6.05,2
Packaging Box,Laminated Wood,8.25,8,Recycled Wood,8.13,3
Electronic Housing,Acetate,2.97,8, Bio-based Acetate,3.06,3
Automotive Component,Recycled Cardboard,7.58,7, Recycled Paperboard,7.71,3
Sportswear,Polyester Thread,5.98,8,Organic Cotton or Hemp Thread,5.85,2
Automotive Component,Polyamide 6,5.22,7,Biodegradable Polyamide,5.36,3
Packaging Box,Non-Woven Polypropylene,1.42,8,Organic Cotton Fabric,1.46,2
General Appliance Part,Traditional Asphalt,7.48,9,Recycled Rubber Pavement,7.26,4
Adhesive,Epoxy Resin,0.13,9,Bio-based Resin,0.13,3
General Appliance Part,Fluoropolymers,4.81,10,Silicon-based Polymers,4.67,4
General Appliance Part,Chlorine,0.55,10,Hydrogen Peroxide,0.56,3
Electronic Housing,Palm Leaves,5.87,8,Bamboo Leaves,5.99,3
Electronic Housing,Hydrazine,3.18,9,Natural Reducing Agents,3.1,3
Electronic Housing,Cork Packaging,1.76,8,Bamboo Packaging,1.81,3
General Appliance Part,Mica,0.91,8,Recycled Glass,0.9,3
Electronic Housing,Recycled Paper Straws,0.09,8, Compostable Paper Straws,0.09,3
Blanket,Recycled Polyester,5.65,8,Recycled Polyester or Organic Cotton,5.52,3
Phone Case,Plastic Beads,3.98,8,Glass or Wooden Beads,3.95,3
Electronic Housing,Cork,3.52,8,Recycled Cork,3.58,3
Electronic Housing,Seaweed,5.4,8,Bio-based Seaweed Packaging,5.55,3
General Appliance Part,Caprolactam,6.18,8,Bio-based Amines,6.13,3
General Appliance Part,Polyvinyl Butyral,7.27,8, Biodegradable PVB,7.2,3
Shoe Sole,Recycled Rubber,6.04,9, Recycled Rubber,6.09,3
Packaging Box,Polyhydroxybutyrate (PHB),3.87,8, Biodegradable PHB,3.93,3
Electronic Housing,Seaweed,9.18,8,Bio-based Seaweed Packaging,8.95,3
General Appliance Part,Mineral Wool,3.71,8,Recycled Cotton Insulation,3.8,3
General Appliance Part,Recycled Steel,8.73,8,Recycled Steel or Aluminum,8.64,3
Mattress,Polyurethane Coating,0.44,8,Plant-based Coating,0.45,3
Disposable Cutlery,Coconut Oil-based Bioplastic,7.18,8, Compostable Plastic,7.21,3
Electronic Housing,Recycled Cardboard,8.74,7,Recycled Paperboard,8.92,3
Packaging Box,Paper Packaging,9.89,8, Biodegradable Paper Packaging,10.02,3
Electronic Housing,Synthetic Adhesive,4.74,9,Starch-based or Resin Glue,4.68,3
General Appliance Part,Polybutylene,8.9,8,Bio-based Polyolefins,9.03,3
Automotive Component,Epichlorohydrin,0.19,9,Bio-based Epoxy,0.19,3
Grocery Bag,Polyethylene Terephthalate,8.69,8,Polylactic Acid,8.46,3
Clothing Apparel,Recycled Carbon Fiber,3.25,8, Recycled Carbon Fiber Composites,3.29,3
Automotive Component,Papyrus,5.9,7,Bamboo Paper,5.92,2
Packaging Box,Hydrazine,3.04,9,Natural Reducing Agents,3.1,3
Water Bottle,PETG,6.09,7,PLA-based materials,6.21,3
Phone Case,Thermoplastic Polyurethane,2.58,8,Biodegradable TPU,2.51,3
Electronic Housing,Leaded Gasoline,3.43,10,Electric Vehicles,3.48,2
Blanket,Bio-based Polyester,4.08,7,Recycled Polyester,4.18,2
Electronic Housing,Recycled Cardboard,5.02,7,Recycled Paperboard,4.98,3
Electronic Housing,Methyl Methacrylate,7.06,8,Natural Acrylates,6.93,3
Automotive Component,Cadmium Batteries,9.89,10,Lithium-ion Batteries,10.11,4
Whiteboard,Melamine,7.99,8,Bamboo-based Tableware,7.9,3
Tire,Silicone Rubber,8.13,6,Natural Latex or Biodegradable Silicone,8.2,3
Automotive Component,Ethylene Vinyl Acetate (EVA),8.49,8, Recycled EVA,8.43,3
Automotive Component,Chitosan,1.16,8,Bio-based Chitosan,1.19,3
Sportswear,Polyester Resin,2.68,8, Bio-based Resin,2.67,3
Electronic Housing,Butylated Hydroxyanisole,1.11,8,Vitamin E (Tocopherol),1.12,2
Automotive Component,Trichloroethylene,7.15,9,Aqueous Cleaners,6.94,3
General Appliance Part,Lindane,1.22,10,Natural Insecticides,1.21,2
Takeout Box,Expanded Polystyrene,6.16,9,Compostable Paper Foam,6.31,3
Shampoo Bottle,Polyethylene Glycol,7.11,8,Bio-based PEG,6.99,3
Automotive Component,Chlordane,1.74,10,Biological Controls,1.71,2
General Appliance Part,Palm Oil,3.59,8, Certified Sustainable Palm Oil,3.54,3
